county,office,district,party,candidate,votes,winner,,,,,,,,,,,,,,
Maricopa ,State Senate,20,DEM,(DEM) Patty Kennedy * ,"7,819",,,,,,,,,,,,,,,
Maricopa ,State Senate,20,REP,(REP) Kimberly Yee * ,"15,259",,,,,,,,,,,,,,,
,State Senate,20,DEM,(DEM) Patty Kennedy * ,"7,819",TRUE,,,,,,,,,,,,,,
,State Senate,20,REP,(REP) Kimberly Yee * ,"15,259",TRUE,,,,,,,,,,,,,,
Maricopa ,State Senate,21,DEM,(DEM) Carolyn Vasko * ,"8,371",,,,,,,,,,,,,,,
Maricopa ,State Senate,21,REP,(REP) Debbie Lesko * ,"18,195",,,,,,,,,,,,,,,
,State Senate,21,DEM,(DEM) Carolyn Vasko * ,"8,371",,,,,,,,,,,,,,,
,State Senate,21,REP,(REP) Debbie Lesko * ,"18,195",,,,,,,,,,,,,,,
Maricopa ,State Senate,22,DEM,"(DEM) Archangel \""Arky"" Muscato * ","8,314",,,,,,,,,,,,,,,
Maricopa ,State Senate,22,REP,(REP) Judy M. Burges * ,"25,105",,,,,,,,,,,,,,,
,State Senate,22,DEM,"(DEM) Archangel \""Arky"" Muscato * ","8,314",TRUE,,,,,,,,,,,,,,
,State Senate,22,REP,(REP) Judy M. Burges * ,"25,105",TRUE,,,,,,,,,,,,,,
Maricopa ,State Senate,23,DEM,(DEM) Paula Pennypacker * ,"8,720",,,,,,,,,,,,,,,
Maricopa ,State Senate,23,REP,(REP) John Kavanagh * ,"17,227",,,,,,,,,,,,,,,
Maricopa ,State Senate,23,REP,(REP) Jeff Schwartz ,"15,075",,,,,,,,,,,,,,,
,State Senate,23,DEM,(DEM) Paula Pennypacker * ,"8,720",,,,,,,,,,,,,,,
,State Senate,23,REP,(REP) John Kavanagh * ,"17,227",,,,,,,,,,,,,,,
,State Senate,23,REP,(REP) Jeff Schwartz ,"15,075",,,,,,,,,,,,,,,
Maricopa ,State Senate,24,DEM,(DEM) Katie Hobbs * ,"11,117",,,,,,,,,,,,,,,
Maricopa ,State Senate,24,REP,(REP) Bill Follette * ,"7,285",,,,,,,,,,,,,,,
,State Senate,24,DEM,(DEM) Katie Hobbs * ,"11,117",TRUE,,,,,,,,,,,,,,
,State Senate,24,REP,(REP) Bill Follette * ,"7,285",TRUE,,,,,,,,,,,,,,
Maricopa ,State Senate,25,DEM,(DEM) Steven Zachary * ,"6,652",,,,,,,,,,,,,,,
Maricopa ,State Senate,25,REP,(REP) Ralph Heap ,"13,827",,,,,,,,,,,,,,,
Maricopa ,State Senate,25,REP,(REP) Bob Worsley * ,"15,473",,,,,,,,,,,,,,,
,State Senate,25,DEM,(DEM) Steven Zachary * ,"6,652",TRUE,,,,,,,,,,,,,,
,State Senate,25,REP,(REP) Ralph Heap ,"13,827",,,,,,,,,,,,,,,
,State Senate,25,REP,(REP) Bob Worsley * ,"15,473",TRUE,,,,,,,,,,,,,,
Maricopa ,State Senate,26,DEM,(DEM) Ed Ableser * ,"6,127",,,,,,,,,,,,,,,
,State Senate,26,DEM,(DEM) Ed Ableser * ,"6,127",TRUE,,,,,,,,,,,,,,
Maricopa ,State Senate,27,DEM,(DEM) Aaron Marquez ,"4,733",,,,,,,,,,,,,,,
Maricopa ,State Senate,27,DEM,(DEM) Catherine Miranda * ,"5,672",,,,,,,,,,,,,,,
Maricopa ,State Senate,27,REP,(REP) Natalie Taswell (Write-In) * ,151,,,,,,,,,,,,,,,
,State Senate,27,DEM,(DEM) Aaron Marquez ,"4,733",,,,,,,,,,,,,,,
,State Senate,27,DEM,(DEM) Catherine Miranda * ,"5,672",TRUE,,,,,,,,,,,,,,
,State Senate,27,REP,(REP) Natalie Taswell (Write-In) * ,151,TRUE,,,,,,,,,,,,,,
Maricopa ,State Senate,28,DEM,(DEM) Kelli Butler * ,"11,051",,,,,,,,,,,,,,,
Maricopa ,State Senate,28,LBT,(LBT) Jim Iannuzo * ,204,,,,,,,,,,,,,,,
Maricopa ,State Senate,28,REP,(REP) Adam Driggs * ,"20,913",,,,,,,,,,,,,,,
,State Senate,28,DEM,(DEM) Kelli Butler * ,"11,051",TRUE,,,,,,,,,,,,,,
,State Senate,28,LBT,(LBT) Jim Iannuzo * ,204,TRUE,,,,,,,,,,,,,,
,State Senate,28,REP,(REP) Adam Driggs * ,"20,913",TRUE,,,,,,,,,,,,,,
Maricopa ,State Senate,29,DEM,(DEM) Lydia Hern‡ndez ,"3,252",,,,,,,,,,,,,,,
Maricopa ,State Senate,29,DEM,(DEM) Martin J. Quezada * ,"3,342",,,,,,,,,,,,,,,
,State Senate,29,DEM,(DEM) Lydia Hern‡ndez ,"3,252",,,,,,,,,,,,,,,
,State Senate,29,DEM,(DEM) Martin J. Quezada * ,"3,342",TRUE,,,,,,,,,,,,,,
Maricopa ,State Senate,30,DEM,(DEM) Robert Meza * ,"6,225",,,,,,,,,,,,,,,
Maricopa ,State Senate,30,REP,(REP) Gary Cox * ,"5,059",,,,,,,,,,,,,,,
,State Senate,30,DEM,(DEM) Robert Meza * ,"6,225",TRUE,,,,,,,,,,,,,,
,State Senate,30,REP,(REP) Gary Cox * ,"5,059",TRUE,,,,,,,,,,,,,,
